HashSet:
iteration: 0, time: 0, max_number: 18446744073709551616, channel size: 587, backlog size: 0
iteration: 5000000, time: 1, max_number: 18446744073714550435, channel size: 36180, backlog size: 9
iteration: 10000000, time: 2, max_number: 18446744073719548127, channel size: 142535, backlog size: 9
iteration: 15000000, time: 3, max_number: 18446744073724548547, channel size: 182470, backlog size: 9
iteration: 20000000, time: 4, max_number: 18446744073729551345, channel size: 209474, backlog size: 9
iteration: 25000000, time: 6, max_number: 18446744073734551258, channel size: 213185, backlog size: 9
iteration: 30000000, time: 7, max_number: 18446744073739550540, channel size: 282979, backlog size: 10
iteration: 35000000, time: 8, max_number: 18446744073744550307, channel size: 384048, backlog size: 10
iteration: 40000000, time: 9, max_number: 18446744073749551289, channel size: 457771, backlog size: 10
iteration: 45000000, time: 11, max_number: 18446744073754551596, channel size: 509349, backlog size: 10
iteration: 50000000, time: 12, max_number: 18446744073759546371, channel size: 530484, backlog size: 9
iteration: 55000000, time: 13, max_number: 18446744073764550823, channel size: 617520, backlog size: 10
iteration: 60000000, time: 14, max_number: 18446744073769551411, channel size: 940099, backlog size: 9
iteration: 65000000, time: 16, max_number: 18446744073774550559, channel size: 1171099, backlog size: 10
iteration: 70000000, time: 17, max_number: 18446744073779534496, channel size: 1202061, backlog size: 10
iteration: 75000000, time: 18, max_number: 18446744073784551603, channel size: 1278272, backlog size: 10
iteration: 80000000, time: 20, max_number: 18446744073789545867, channel size: 1269411, backlog size: 9
iteration: 85000000, time: 21, max_number: 18446744073794549129, channel size: 1341570, backlog size: 10
iteration: 90000000, time: 22, max_number: 18446744073799551248, channel size: 1369383, backlog size: 10
iteration: 95000000, time: 23, max_number: 18446744073804548768, channel size: 1429340, backlog size: 10
iteration: 100000000, time: 25, max_number: 18446744073809551242, channel size: 1712311, backlog size: 9
iteration: 105000000, time: 26, max_number: 18446744073814549983, channel size: 1986981, backlog size: 9
iteration: 110000000, time: 27, max_number: 18446744073819550903, channel size: 2144644, backlog size: 10
iteration: 115000000, time: 28, max_number: 18446744073824550404, channel size: 2178185, backlog size: 10
iteration: 120000000, time: 30, max_number: 18446744073829548998, channel size: 2258916, backlog size: 10
iteration: 125000000, time: 31, max_number: 18446744073834551591, channel size: 2346716, backlog size: 10
iteration: 130000000, time: 32, max_number: 18446744073839551364, channel size: 2428852, backlog size: 9
iteration: 135000000, time: 33, max_number: 18446744073844551508, channel size: 2697028, backlog size: 9
