Vec normal:
max_number: 18446744073714534918, Channel size: 6129124, backlog size: 23
max_number: 18446744073719470924, Channel size: 10975251, backlog size: 23
max_number: 18446744073724540323, Channel size: 16328484, backlog size: 23
max_number: 18446744073729521792, Channel size: 22737851, backlog size: 23
max_number: 18446744073734522135, Channel size: 28994141, backlog size: 22
max_number: 18446744073739537906, Channel size: 34994805, backlog size: 23
max_number: 18446744073744540127, Channel size: 39844059, backlog size: 22
max_number: 18446744073749539064, Channel size: 45672337, backlog size: 22
max_number: 18446744073754531403, Channel size: 52615282, backlog size: 21
max_number: 18446744073759391298, Channel size: 57793433, backlog size: 22
max_number: 18446744073764536089, Channel size: 62584016, backlog size: 22
max_number: 18446744073769543447, Channel size: 67717313, backlog size: 22
max_number: 18446744073774534673, Channel size: 73151474, backlog size: 23
max_number: 18446744073779527392, Channel size: 78788656, backlog size: 23
max_number: 18446744073784545318, Channel size: 84235580, backlog size: 20
max_number: 18446744073789533179, Channel size: 89133757, backlog size: 22
max_number: 18446744073794537988, Channel size: 95788173, backlog size: 23
max_number: 18446744073799477863, Channel size: 101159371, backlog size: 22
max_number: 18446744073804537435, Channel size: 106249631, backlog size: 23
max_number: 18446744073809530512, Channel size: 112986603, backlog size: 23
max_number: 18446744073814543490, Channel size: 117265113, backlog size: 23
max_number: 18446744073819536785, Channel size: 122490558, backlog size: 23
max_number: 18446744073824519280, Channel size: 127615380, backlog size: 23
max_number: 18446744073829518381, Channel size: 131070060, backlog size: 22
max_number: 18446744073834541590, Channel size: 136302517, backlog size: 23
max_number: 18446744073839530692, Channel size: 140565391, backlog size: 23
max_number: 18446744073844543338, Channel size: 145577450, backlog size: 22
max_number: 18446744073849541893, Channel size: 149606953, backlog size: 22
max_number: 18446744073854498740, Channel size: 155001844, backlog size: 23
